dataset,dataset_display,metric,n_hc,n_ad,hc_mean,ad_mean,mean_difference_hc_minus_ad,mean_difference_ci_low,mean_difference_ci_high,standardized_difference_hc_minus_ad,standardized_difference_ci_low,standardized_difference_ci_high,n_bootstrap
Train,ADReSS train,Y,54,54,0.6536195286195287,0.5277777777777778,0.1258417508417508,0.0547138047138048,0.1978114478114476,0.6447697390852963,0.2666415997061775,1.0531475089275646,10000
Train,ADReSS train,Z,54,54,0.0172613574605848,0.0151950099971144,0.0020663474634703,0.0004177179898963,0.003682540424375,0.4718582258157602,0.0943430439403486,0.8970402075398576,10000
Train,ADReSS train,YZ_joint_index,54,54,0.5504809930391734,0.3659246154515628,0.1845563775876105,0.1037037341974579,0.2649939893957946,0.8377513174103891,0.4619523530053679,1.272539557106031,10000
Test,ADReSS validation,Y,24,24,0.6789772727272728,0.5880681818181818,0.090909090909091,-0.0104166666666666,0.1903409090909091,0.4943852449701229,-0.0459617367239021,1.1016118873870575,10000
Test,ADReSS validation,Z,24,24,0.0183881257738296,0.0147510265621045,0.003637099211725,0.0014691537925197,0.0058850465846868,0.9034510936706556,0.3839864226061002,1.5064663290787288,10000
Test,ADReSS validation,YZ_joint_index,24,24,0.5493082374998169,0.3873846824993696,0.1619235550004473,0.0281218997646596,0.2953883109945927,0.6604849546317059,0.1104426682356718,1.3046747233962614,10000
Pitt,Pitt,Y,165,238,0.6475206611570247,0.6009358288770053,0.0465848322800194,0.0095664774174131,0.0840365216334466,0.241840247111861,0.0491428608680432,0.4457115288339089,10000
Pitt,Pitt,Z,165,238,0.0167144730292034,0.0159436741847732,0.0007707988444302,1.8146380060626263e-05,0.0015255454818939,0.1909731720562234,0.0022740027285213,0.3850994152550209,10000
Pitt,Pitt,YZ_joint_index,165,238,0.4973756921820084,0.427681982022587,0.0696937101594213,0.022801926885234,0.1166777065267567,0.2888389744898882,0.0878025637367388,0.4897887818131187,10000
Lu,Lu,Y,15,27,0.6121212121212122,0.4705387205387205,0.1415824915824916,-0.0126262626262626,0.2872053872053872,0.6131867570472439,-0.0422399153707123,1.436779622005817,10000
Lu,Lu,Z,15,27,0.0175243331740299,0.0117352701620094,0.0057890630120204,0.0030708389155808,0.0084884587028581,1.3770479005555507,0.7404795394266755,2.232889322041059,10000
Lu,Lu,YZ_joint_index,15,27,0.6251020844204427,0.3787150379472607,0.246387046473182,0.0934274492836116,0.3936855678447701,1.0822606002727744,0.4056864079767701,1.9515163277732976,10000


