dataset,dataset_display,proxy,n_hc,n_ad,hc_mean,hc_sd,hc_median,hc_q1,hc_q3,ad_mean,ad_sd,ad_median,ad_q1,ad_q3,mean_difference_hc_minus_ad,bootstrap_ci_low,bootstrap_ci_high,mann_whitney_u,p_value_two_sided,rank_biserial_hc_vs_ad,n_bootstrap,q_value_bh_across_8_tests
Train,ADReSS train,Y,54,54,0.6536195286195287,0.1888093703934685,0.6590909090909091,0.5,0.7954545454545454,0.5277777777777778,0.2013359146490616,0.5,0.3863636363636363,0.7045454545454546,0.1258417508417508,0.053030303030303,0.1969696969696969,1956.0,0.0022152331567848,0.3415637860082305,10000,0.0088609326271394
Train,ADReSS train,Z,54,54,0.0172613574605848,0.0034685070441395,0.0174791272729634,0.0152983400039374,0.0191386314108967,0.0151950099971144,0.0051306648215206,0.0152558297850191,0.0108909297268837,0.0186161207966506,0.0020663474634703,0.0004405822328947,0.0037054304891541,1850.0,0.0161478991090732,0.2688614540466392,10000,0.0322957982181465
Test,ADReSS test,Y,24,24,0.6789772727272728,0.2160585607026311,0.6590909090909091,0.4943181818181818,0.8806818181818181,0.5880681818181818,0.1447227918795098,0.5795454545454546,0.4772727272727273,0.6931818181818181,0.090909090909091,-0.0104166666666667,0.1922348484848483,355.0,0.1697069487895826,0.2326388888888888,10000,0.1697069487895826
Test,ADReSS test,Z,24,24,0.0183881257738296,0.0039362345700226,0.0178542481735348,0.0151036004535853,0.0210286723449825,0.0147510265621045,0.0041133849281515,0.0150070381350815,0.0122967122588306,0.0175154013559221,0.003637099211725,0.001426015595401,0.0058721766467594,414.0,0.0096600470712206,0.4375,10000,0.0257601255232551
Pitt,Pitt,Y,165,238,0.6475206611570247,0.1828996760799284,0.6590909090909091,0.5227272727272727,0.7727272727272727,0.6009358288770053,0.1990792243132187,0.6136363636363636,0.4545454545454545,0.75,0.0465848322800194,0.0089896723152071,0.0849637706322199,22284.0,0.0211692664604446,0.1349121466768525,10000,0.0338708263367114
Pitt,Pitt,Z,165,238,0.0167144730292034,0.0034011048473799,0.016514228656888,0.0143707310780882,0.0185471791774034,0.0159436741847732,0.0044225462235956,0.015950790606439,0.0132019268348812,0.0183841511607169,0.0007707988444302,1.385398257411896e-06,0.0015154327114916,21886.0,0.0503169149255528,0.1146422205245734,10000,0.0670892199007371
Lu,Lu,Y,15,27,0.6121212121212122,0.2637128564951552,0.6363636363636364,0.4204545454545454,0.8295454545454546,0.4705387205387205,0.2111233327193282,0.4772727272727273,0.284090909090909,0.6477272727272727,0.1415824915824916,-0.0075757575757576,0.2868686868686869,272.0,0.069875375434309,0.3432098765432099,10000,0.0798575719249246
Lu,Lu,Z,15,27,0.0175243331740299,0.0045579715542355,0.0180517230182886,0.0144750913605093,0.0195065336301922,0.0117352701620094,0.0040003934965336,0.0116450609639287,0.00838472135365,0.0144754126667975,0.0057890630120204,0.0031275601020186,0.0084103975222549,337.0,0.0004356379889562,0.6641975308641976,10000,0.0034851039116497


