method,method_display,source_label,mean,sd,n_seeds
CoDiPO,CoDiPO,0,0.1,0.0239669983436014,5
CoDiPO,CoDiPO,1,0.0648148148148148,0.0244976973246721,5
Cos-X,Cosine sim. as X,0,0.0925925925925925,0.0527858993101452,5
Cos-X,Cosine sim. as X,1,0.0611111111111111,0.0241451940933431,5
Cosine-only,Cosine-only,0,0.074074074074074,0.0173224879017312,5
Cosine-only,Cosine-only,1,0.0481481481481481,0.0165634664999984,5
Hard filter,Hard Filter,0,0.312962962962963,0.0496040564295513,5
Hard filter,Hard Filter,1,0.2351851851851852,0.0192004086604886,5
Vanilla,Vanilla,0,0.087037037037037,0.0241451940933431,5
Vanilla,Vanilla,1,0.0407407407407407,0.0213164156170765,5
w/o X,w/o X,0,0.1055555555555555,0.0417180752817363,5
w/o X,w/o X,1,0.0537037037037037,0.0280847238668575,5
w/o Y/Z,w/o YZ,0,0.074074074074074,0.0387342604876886,5
w/o Y/Z,w/o YZ,1,0.0444444444444444,0.0077468520975377,5


