method,method_display,run_idx,aug_seed,random_seed,num_aug_from_file,k_inferred,align_label_acc,n_samples,n_sources,yz_pass_rate,x_pass_rate,joint_pass_rate,yz_fail_rate,x_fail_rate,risk_direction_violation_rate,y_bad_rate,z_bad_rate,y_bad_low_rate,y_bad_high_rate,z_bad_low_rate,z_bad_high_rate,yz_violation_mean,yz_violation_median,x_violation_mean,x_violation_median,residual_cos_mean,residual_cos_median,origin_cos_mean,origin_cos_median,delta_y_mean,delta_y_median,delta_z_mean,delta_z_median,yz_utilization_mean,yz_utilization_median
CoDiPO,CoDiPO,1.0,7109,7109,2,2,1.0,216,108,0.1851851851851851,0.4907407407407407,0.0833333333333333,0.8148148148148148,0.5092592592592593,,0.5787037037037037,0.625,0.3055555555555556,0.2731481481481481,0.162037037037037,0.4629629629629629,2.011318982695669,1.437496382138926,0.516433106679027,0.0199456213017155,0.1707947385530603,0.1569972589151854,0.9088102913730433,0.9143888024466976,-0.003577441077441,-0.0113636363636362,0.0026076065540244,0.0020237476564943,0.7986826771286928,0.8605313702440371
CoDiPO,CoDiPO,2.0,1969,1969,2,2,1.0,216,108,0.162037037037037,0.4444444444444444,0.0509259259259259,0.8379629629629629,0.5555555555555556,,0.4953703703703703,0.6574074074074074,0.2546296296296296,0.2407407407407407,0.2083333333333333,0.449074074074074,1.9361206248291143,1.3030832462479194,0.5572462162833292,0.1602403374537324,0.173943465905094,0.1702206322999953,0.9112378026962188,0.9149560270766706,-0.0196759259259259,-0.0227272727272727,0.002053942520568,0.0020201662555336,0.7709656550705536,0.7739186345007214
CoDiPO,CoDiPO,3.0,7476,7476,2,2,1.0,216,108,0.162037037037037,0.4629629629629629,0.074074074074074,0.8379629629629629,0.5370370370370371,,0.5231481481481481,0.6851851851851852,0.2824074074074074,0.2407407407407407,0.1805555555555555,0.5046296296296297,1.9257099675874585,1.331667670328171,0.5901949149274297,0.1186461971340708,0.1825831850516846,0.1682703585724108,0.9110786502446994,0.9171100142754148,-0.0049452861952862,-0.0227272727272727,0.0024316240084805,0.0030233096331357,0.7888296991618339,0.870390375201508
CoDiPO,CoDiPO,4.0,4928,4928,2,2,1.0,216,108,0.199074074074074,0.4722222222222222,0.0972222222222222,0.8009259259259259,0.5277777777777778,,0.4768518518518518,0.6574074074074074,0.2777777777777778,0.199074074074074,0.2314814814814814,0.4259259259259259,1.9174071299422009,1.04043105000266,0.6489266021238304,0.0869570941432667,0.1848842927161649,0.1641275988755767,0.909372217262188,0.9142434370688526,-0.0318813131313131,-0.0227272727272727,0.001740786479786,0.0016778507269918,0.7665265354894573,0.7876371488146421
CoDiPO,CoDiPO,5.0,190,190,2,2,1.0,216,108,0.199074074074074,0.4814814814814814,0.1064814814814814,0.8009259259259259,0.5185185185185185,,0.5046296296296297,0.6111111111111112,0.2638888888888889,0.2407407407407407,0.1481481481481481,0.4629629629629629,1.8025856058722145,1.1292752348603177,0.5712037670963775,0.0574779124419108,0.1777015050663868,0.1644241883800727,0.9111533767508654,0.9172219883320584,-0.0173611111111111,-0.0113636363636363,0.0024780613624628,0.0022524991072714,0.7541444390106099,0.75385264121161
w/o X,w/o X,5.0,1874,1874,2,2,1.0,216,108,0.1944444444444444,0.3564814814814814,0.0648148148148148,0.8055555555555556,0.6435185185185185,,0.5185185185185185,0.6018518518518519,0.2638888888888889,0.2546296296296296,0.1203703703703703,0.4814814814814814,1.7962095610999256,1.2483025315886505,0.640209189999647,0.328534172267732,0.2030460811292991,0.2024908813302022,0.9161773850367768,0.9208066867273996,0.0002104377104376,0.0,0.0028269290212645,0.0023425607942043,0.7790948163781729,0.817291572885806
w/o X,w/o X,4.0,6027,6027,2,2,1.0,216,108,0.2175925925925926,0.5138888888888888,0.125,0.7824074074074074,0.4861111111111111,,0.4814814814814814,0.6481481481481481,0.2731481481481481,0.2083333333333333,0.2268518518518518,0.4212962962962963,2.1252377887445806,1.355529208596738,0.5693837057356397,0.0,0.1785172212821219,0.1586347326821931,0.9098510550764674,0.91359060660613,-0.0432449494949495,-0.0454545454545454,0.0021708002249296,0.0011411630548535,0.7729073453196628,0.8181048220224352
w/o X,w/o X,3.0,4640,4640,2,2,1.0,216,108,0.1574074074074074,0.4259259259259259,0.0462962962962962,0.8425925925925926,0.5740740740740741,,0.4953703703703703,0.6435185185185185,0.2546296296296296,0.2407407407407407,0.1944444444444444,0.449074074074074,2.067020481526665,1.4051179431951388,0.6013008779700038,0.1778443039316934,0.1923117330418841,0.1827313382526085,0.9126188788678364,0.9199171857718724,-0.020307239057239,0.0,0.0021951136295683,0.0015727835707366,0.7610507073303905,0.7756310804163955
w/o X,w/o X,2.0,4770,4770,2,2,1.0,216,108,0.1527777777777778,0.449074074074074,0.0787037037037037,0.8472222222222222,0.5509259259259259,,0.5,0.7222222222222222,0.2546296296296296,0.2453703703703703,0.2083333333333333,0.5138888888888888,2.160486055028181,1.6579623722727892,0.5697174062606166,0.1394516846915078,0.1743832746340077,0.1716184411223126,0.909521501442774,0.9154667068944944,-0.0098905723905724,0.0,0.0025712591164779,0.0029104328714311,0.803261386747996,0.8372453797382978
w/o X,w/o X,1.0,8976,8976,2,2,1.0,216,108,0.1666666666666666,0.4629629629629629,0.0833333333333333,0.8333333333333334,0.5370370370370371,,0.5416666666666666,0.6203703703703703,0.2361111111111111,0.3055555555555556,0.1805555555555555,0.4398148148148148,1.9929303873533435,1.2200523870794555,0.5682659813397742,0.1548132506871982,0.1777570393545813,0.1753641022135863,0.90887865957548,0.9139777712967804,0.0214646464646464,0.0113636363636363,0.0023266124211389,0.0020849136635659,0.7810997113668868,0.80393026481614
