method_display,display_method,method_family,cohort,metric,point_percent,ci_low_percent,ci_high_percent,point_role
BERT,BERT,No augmentation reference,External-cohort average,accuracy,76.40139430462011,71.71379829847572,80.68238213399503,external_cohort_bootstrap_ci
BERT,BERT,No augmentation reference,ADReSS validation,accuracy,84.58333333333334,,,cohort_mean
BERT,BERT,No augmentation reference,Lu,accuracy,82.38095238095238,,,cohort_mean
BERT,BERT,No augmentation reference,Pitt,accuracy,70.42183622828784,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,External-cohort average,accuracy,73.37031785418883,68.06410551813777,78.15350053172634,external_cohort_bootstrap_ci
EDA,EDA,Representative non-LLM anchors,ADReSS validation,accuracy,81.66666666666667,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Lu,accuracy,77.61904761904762,,,cohort_mean
EDA,EDA,Representative non-LLM anchors,Pitt,accuracy,69.12158808933002,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,External-cohort average,accuracy,77.43353420772775,72.42349048800662,81.9575948245303,external_cohort_bootstrap_ci
CDA,CDA,Representative non-LLM anchors,ADReSS validation,accuracy,86.66666666666669,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Lu,accuracy,82.85714285714286,,,cohort_mean
CDA,CDA,Representative non-LLM anchors,Pitt,accuracy,72.00992555831264,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,External-cohort average,accuracy,72.91882311237148,68.28223738626966,77.38459766040413,external_cohort_bootstrap_ci
ICL Direct,ICL Direct,LLM generation strategies,ADReSS validation,accuracy,88.66666666666667,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Lu,accuracy,73.14285714285715,,,cohort_mean
ICL Direct,ICL Direct,LLM generation strategies,Pitt,accuracy,72.69478908188584,,,cohort_mean
ICL Rewrite,ICL Rewrite,LLM generation strategies,External-cohort average,accuracy,72.82677537516247,69.23218716767103,76.40135294812714,external_cohort_bootstrap_ci
