table,method_display,method_label,dataset,cohort,metric,mean,sd,ci_low,ci_high,is_best
Table 2,BERT,BERT,Test,ADReSS validation,accuracy,0.8458333333333334,0.0186338998124982,0.7708333333333333,0.9125,False
Table 2,BERT,BERT,Test,ADReSS validation,f1,0.8385856731741465,0.0250487439482434,0.7479352369504025,0.9101719861613724,False
Table 2,BERT,BERT,Lu,Lu,accuracy,0.8238095238095238,0.0464133064038522,0.738095238095238,0.9,False
Table 2,BERT,BERT,Lu,Lu,f1,0.8701677613216751,0.0324250695417107,0.8049236613831547,0.926038786883448,False
Table 2,BERT,BERT,Pitt,Pitt,accuracy,0.7042183622828784,0.0180135894916938,0.6684863523573201,0.7384615384615385,False
Table 2,BERT,BERT,Pitt,Pitt,f1,0.7207121130561508,0.0505189849656879,0.680611182038427,0.757189414046355,False
Table 2,BERT,BERT,ExternalCohortAverage,External-cohort average,accuracy,0.7640139430462011,0.0271086421220276,0.7171379829847573,0.8068238213399503,False
Table 2,BERT,BERT,ExternalCohortAverage,External-cohort average,f1,0.7954399371889129,0.0337999342445769,0.7574092226508463,0.8297962780582663,False
Table 2,EDA,EDA,Test,ADReSS validation,accuracy,0.8166666666666667,0.0051031036307983,0.7391666666666667,0.8841666666666669,False
Table 2,EDA,EDA,Test,ADReSS validation,f1,0.8150663453483714,0.0107506021373256,0.7253795118287384,0.8858797080029723,False
Table 2,EDA,EDA,Lu,Lu,accuracy,0.7761904761904762,0.0146771761975452,0.6752380952380951,0.8647619047619048,False
Table 2,EDA,EDA,Lu,Lu,f1,0.8275727207097333,0.0108846355919954,0.7430139354755236,0.897095073790713,False
Table 2,EDA,EDA,Pitt,Pitt,accuracy,0.6912158808933002,0.0084760432500204,0.6578660049627791,0.7243672456575682,False
Table 2,EDA,EDA,Pitt,Pitt,f1,0.7120048414741612,0.0246478876208181,0.6749467751221346,0.7466556836130602,False
Table 2,EDA,EDA,ExternalCohortAverage,External-cohort average,accuracy,0.7337031785418883,0.0080268682901398,0.6806410551813776,0.7815350053172634,False
Table 2,EDA,EDA,ExternalCohortAverage,External-cohort average,f1,0.7697887810919474,0.0148096025882982,0.7239637513042475,0.8091524626766361,False
Table 2,CDA,CDA,Test,ADReSS validation,accuracy,0.8666666666666668,0.0348608344389198,0.7833333333333333,0.9375,False
Table 2,CDA,CDA,Test,ADReSS validation,f1,0.8632041298789019,0.0411146166585099,0.7711418432358592,0.937687266022379,False
Table 2,CDA,CDA,Lu,Lu,accuracy,0.8285714285714286,0.0353152308909317,0.738095238095238,0.9142857142857144,False
Table 2,CDA,CDA,Lu,Lu,f1,0.8764599594163363,0.021063215714746,0.8107261125702853,0.9353290045444286,False
Table 2,CDA,CDA,Pitt,Pitt,accuracy,0.7200992555831265,0.0265752074153653,0.6838709677419355,0.7558312655086848,False
Table 2,CDA,CDA,Pitt,Pitt,f1,0.7299060446857523,0.0422216287804064,0.6884743428339131,0.7678445553323724,False
Table 2,CDA,CDA,ExternalCohortAverage,External-cohort average,accuracy,0.7743353420772775,0.0128407530849034,0.7242349048800663,0.819575948245303,False
Table 2,CDA,CDA,ExternalCohortAverage,External-cohort average,f1,0.8031830020510441,0.0145276654709001,0.7643809809120855,0.8387079757660683,False
Table 2,ICL Direct,ICL Direct,Test,ADReSS validation,accuracy,0.8866666666666667,0.0107851492546206,0.8158333333333334,0.9466666666666664,False
Table 2,ICL Direct,ICL Direct,Test,ADReSS validation,f1,0.8894841901433395,0.0119911986100687,0.8187096603690313,0.9473849666843184,False
Table 2,ICL Direct,ICL Direct,Lu,Lu,accuracy,0.7314285714285715,0.0237140944723595,0.6438095238095236,0.8142857142857145,False
Table 2,ICL Direct,ICL Direct,Lu,Lu,f1,0.8140116680777003,0.0150804116156137,0.7517073988317478,0.8695081797825576,False
Table 2,ICL Direct,ICL Direct,Pitt,Pitt,accuracy,0.7269478908188585,0.0066896348574708,0.6916129032258066,0.7612928039702234,False
Table 2,ICL Direct,ICL Direct,Pitt,Pitt,f1,0.7465334305780773,0.0072465643879767,0.7087210741340304,0.7816914668418761,False
Table 2,ICL Direct,ICL Direct,ExternalCohortAverage,External-cohort average,accuracy,0.7291882311237149,0.010752673239547,0.6828223738626965,0.7738459766040412,False
Table 2,ICL Direct,ICL Direct,ExternalCohortAverage,External-cohort average,f1,0.7802725493278888,0.0076103530874948,0.7447333845092371,0.8129634766874805,False
Table 2,ICL Rewrite,ICL Rewrite,Test,ADReSS validation,accuracy,0.8566666666666667,0.0108653373420044,0.7733333333333334,0.9283333333333336,False
Table 2,ICL Rewrite,ICL Rewrite,Test,ADReSS validation,f1,0.8645653513125117,0.0102570889554041,0.7901998842202167,0.93118359238992,False
Table 2,ICL Rewrite,ICL Rewrite,Lu,Lu,accuracy,0.720952380952381,0.0316944024615119,0.6590476190476189,0.7828571428571429,False
Table 2,ICL Rewrite,ICL Rewrite,Lu,Lu,f1,0.8162795304930708,0.0198463890865756,0.7755166367333398,0.8545020150192224,False
Table 2,ICL Rewrite,ICL Rewrite,Pitt,Pitt,accuracy,0.7355831265508685,0.0065969504832585,0.7010421836228287,0.7704218362282879,False
Table 2,ICL Rewrite,ICL Rewrite,Pitt,Pitt,f1,0.7587260152361124,0.0071777402207857,0.722062973010614,0.7935599590324246,False
Table 2,ICL Rewrite,ICL Rewrite,ExternalCohortAverage,External-cohort average,accuracy,0.7282677537516247,0.01327510991323,0.6923218716767103,0.7640135294812714,False
Table 2,ICL Rewrite,ICL Rewrite,ExternalCohortAverage,External-cohort average,f1,0.7875027728645916,0.0086962903372239,0.7599111218125273,0.8135010755860262,False
Table 2,ICL Imitation,ICL Imitation,Test,ADReSS validation,accuracy,0.8708333333333333,0.0131761569173682,0.7966666666666667,0.9349999999999996,False
Table 2,ICL Imitation,ICL Imitation,Test,ADReSS validation,f1,0.8760788841005646,0.0099887014069269,0.8070038034774666,0.9358379025032112,False
Table 2,ICL Imitation,ICL Imitation,Lu,Lu,accuracy,0.7485714285714284,0.0305653457826309,0.6685714285714284,0.823809523809524,False
Table 2,ICL Imitation,ICL Imitation,Lu,Lu,f1,0.8259752166634954,0.0178036217440731,0.7686655751236057,0.8771752782380776,False
Table 2,ICL Imitation,ICL Imitation,Pitt,Pitt,accuracy,0.7332009925558313,0.0064094825969083,0.6999503722084368,0.7655583126550866,False
Table 2,ICL Imitation,ICL Imitation,Pitt,Pitt,f1,0.7565508000139478,0.0125933773746892,0.7217345392640665,0.7892400840690527,False
Table 2,ICL Imitation,ICL Imitation,ExternalCohortAverage,External-cohort average,accuracy,0.7408862105636299,0.0163777528478393,0.697813482216708,0.781531726338178,False
Table 2,ICL Imitation,ICL Imitation,ExternalCohortAverage,External-cohort average,f1,0.7912630083387217,0.0095826907135996,0.7578856953552944,0.8215440735892378,False
Table 2,Vanilla,Vanilla,Test,ADReSS validation,accuracy,0.8991666666666667,0.0286259400621961,0.8425,0.9475,False
Table 2,Vanilla,Vanilla,Test,ADReSS validation,f1,0.8943384293279315,0.0306163205471474,0.8254431958074916,0.9464437975100682,False
Table 2,Vanilla,Vanilla,Lu,Lu,accuracy,0.8142857142857143,0.0283723221138404,0.7295238095238097,0.8885714285714286,False
Table 2,Vanilla,Vanilla,Lu,Lu,f1,0.8681370812190622,0.0184002561915111,0.8089212244303501,0.9195442011472632,False
Table 2,Vanilla,Vanilla,Pitt,Pitt,accuracy,0.7313151364764268,0.0073324957068946,0.6950868486352357,0.7661538461538462,False
Table 2,Vanilla,Vanilla,Pitt,Pitt,f1,0.7344137268816516,0.0079842525724932,0.6911422981837796,0.7739141484784317,False
Table 2,Vanilla,Vanilla,ExternalCohortAverage,External-cohort average,accuracy,0.7728004253810704,0.014500258136931,0.7269995568947183,0.8143862105636298,False
Table 2,Vanilla,Vanilla,ExternalCohortAverage,External-cohort average,f1,0.8012754040503569,0.0081035917463086,0.764855909214069,0.8341598821047677,False
Table 2,Hard Filter,Hard Filter,Test,ADReSS validation,accuracy,0.8933333333333335,0.0231240615425193,0.8300000000000002,0.9466666666666664,False
Table 2,Hard Filter,Hard Filter,Test,ADReSS validation,f1,0.8917225896900212,0.0213441798300404,0.821796489159553,0.9465367327568486,False
Table 2,Hard Filter,Hard Filter,Lu,Lu,accuracy,0.8133333333333335,0.0307502557923103,0.7323809523809524,0.8857142857142858,False
Table 2,Hard Filter,Hard Filter,Lu,Lu,f1,0.8672999809512671,0.0201148192247153,0.8092298616170366,0.9186417866964912,False
Table 2,Hard Filter,Hard Filter,Pitt,Pitt,accuracy,0.7313151364764268,0.0100831167040796,0.6960794044665013,0.7657568238213399,False
Table 2,Hard Filter,Hard Filter,Pitt,Pitt,f1,0.7365592248968091,0.0155426044120974,0.6948230758020935,0.7753191664701006,False
Table 2,Hard Filter,Hard Filter,ExternalCohortAverage,External-cohort average,accuracy,0.7723242349048801,0.0159655700193834,0.7278359919650244,0.8129088089330024,False
Table 2,Hard Filter,Hard Filter,ExternalCohortAverage,External-cohort average,f1,0.8019296029240381,0.0108111525745875,0.7661677856340646,0.8347696727315929,False
Table 2,CoDiPO,CoDiPO,Test,ADReSS validation,accuracy,0.9283333333333332,0.0175297366399688,0.8749999999999997,0.9683333333333336,True
Table 2,CoDiPO,CoDiPO,Test,ADReSS validation,f1,0.9279945454744436,0.015594158285481,0.8706307588538822,0.9686582536745024,True
Table 2,CoDiPO,CoDiPO,Lu,Lu,accuracy,0.8609523809523809,0.0169700282678147,0.7771428571428572,0.9333333333333332,True
Table 2,CoDiPO,CoDiPO,Lu,Lu,f1,0.8987256266518626,0.0112803444027036,0.841174960530117,0.9499672633319404,True
Table 2,CoDiPO,CoDiPO,Pitt,Pitt,accuracy,0.7508684863523574,0.0068766285164024,0.7156327543424318,0.7847171215880894,True
Table 2,CoDiPO,CoDiPO,Pitt,Pitt,f1,0.7615455884160032,0.0118958403880072,0.7221622460068132,0.7981504786278012,True
Table 2,CoDiPO,CoDiPO,ExternalCohortAverage,External-cohort average,accuracy,0.805910433652369,0.0051487072820295,0.7600861396667848,0.8466131395486234,True
Table 2,CoDiPO,CoDiPO,ExternalCohortAverage,External-cohort average,f1,0.8301356075339328,0.0050600437761704,0.7957278982392525,0.8623018179988652,True


