table,method_display,method_label,dataset,cohort,metric,mean,sd,ci_low,ci_high
Table 3,CoDiPO,CoDiPO,Test,ADReSS validation,f1,0.9279945454744436,0.015594158285481,0.8706307588538822,0.9686582536745024
Table 3,CoDiPO,CoDiPO,Lu,Lu,f1,0.8987256266518626,0.0112803444027036,0.841174960530117,0.9499672633319404
Table 3,CoDiPO,CoDiPO,Pitt,Pitt,f1,0.7615455884160032,0.0118958403880072,0.7221622460068132,0.7981504786278012
Table 3,CoDiPO,CoDiPO,ExternalCohortAverage,External-cohort average,accuracy,0.805910433652369,0.0051487072820295,0.7600861396667848,0.8466131395486234
Table 3,CoDiPO,CoDiPO,ExternalCohortAverage,External-cohort average,f1,0.8301356075339328,0.0050600437761704,0.7957278982392525,0.8623018179988652
Table 3,w/o X,w/o \(X\),Test,ADReSS validation,f1,0.9115088192045242,0.0143810195853158,0.8413179745485614,0.9634167595192684
Table 3,w/o X,w/o \(X\),Lu,Lu,f1,0.8568076819445732,0.0117147750538977,0.7931054223308945,0.9126451610193744
Table 3,w/o X,w/o \(X\),Pitt,Pitt,f1,0.7314629886054318,0.0095083453033798,0.6863838402552758,0.7728546048192471
Table 3,w/o X,w/o \(X\),ExternalCohortAverage,External-cohort average,accuracy,0.7660250502185987,0.0073296829866128,0.7177737209027532,0.810723915869077
Table 3,w/o X,w/o \(X\),ExternalCohortAverage,External-cohort average,f1,0.7941353352750025,0.004327777370473,0.7547177264721039,0.8298588027641906
Table 3,w/o YZ,w/o \(YZ\),Test,ADReSS validation,f1,0.9116384709750112,0.0152935747459261,0.8489876980836659,0.960366681800736
Table 3,w/o YZ,w/o \(YZ\),Lu,Lu,f1,0.8599746088780023,0.0143437986333927,0.7974355901652178,0.914463105368108
Table 3,w/o YZ,w/o \(YZ\),Pitt,Pitt,f1,0.7425976446384174,0.0101105437677011,0.7003091833125213,0.7811557184398413
Table 3,w/o YZ,w/o \(YZ\),ExternalCohortAverage,External-cohort average,accuracy,0.7702623183268346,0.0119479288123974,0.7225109299302848,0.8144846980976013
Table 3,w/o YZ,w/o \(YZ\),ExternalCohortAverage,External-cohort average,f1,0.8012861267582098,0.0085557697962449,0.763930234861621,0.8355454112507248
Table 3,Cosine sim. as X,Cosine sim. as \(X\),Test,ADReSS validation,f1,0.9201832507689812,0.0208311614479696,0.8543656226332874,0.9680600962053436
Table 3,Cosine sim. as X,Cosine sim. as \(X\),Lu,Lu,f1,0.8569948678853379,0.0050740099455028,0.7966043201245536,0.9116223399933469
Table 3,Cosine sim. as X,Cosine sim. as \(X\),Pitt,Pitt,f1,0.7347933100969817,0.0172650862931795,0.6916247155194621,0.774561673205633
Table 3,Cosine sim. as X,Cosine sim. as \(X\),ExternalCohortAverage,External-cohort average,accuracy,0.766273189176415,0.0081877784302533,0.7193014592933946,0.8109855547678128
Table 3,Cosine sim. as X,Cosine sim. as \(X\),ExternalCohortAverage,External-cohort average,f1,0.7958940889911597,0.0091254576250495,0.7585504207650468,0.8304358356014793
Table 3,Cosine-only,Cosine-only,Test,ADReSS validation,f1,0.8982082029691678,0.0116215019955666,0.8352936191733502,0.946646836551286
Table 3,Cosine-only,Cosine-only,Lu,Lu,f1,0.8465702129409518,0.0100486248631765,0.7883094856954797,0.8984935281617991
Table 3,Cosine-only,Cosine-only,Pitt,Pitt,f1,0.7409090212083183,0.0245971348811298,0.7000921428946119,0.7787379443866951
Table 3,Cosine-only,Cosine-only,ExternalCohortAverage,External-cohort average,accuracy,0.7588136594588208,0.011331957377894,0.7138365236913624,0.8007396904171098
Table 3,Cosine-only,Cosine-only,ExternalCohortAverage,External-cohort average,f1,0.793739617074635,0.015315979982097,0.7585479880334258,0.8262679747814727
Table 3,Vanilla,Vanilla,Test,ADReSS validation,f1,0.8943384293279315,0.0306163205471474,0.8254431958074916,0.9464437975100682
Table 3,Vanilla,Vanilla,Lu,Lu,f1,0.8681370812190622,0.0184002561915111,0.8089212244303501,0.9195442011472632
Table 3,Vanilla,Vanilla,Pitt,Pitt,f1,0.7344137268816516,0.0079842525724932,0.6911422981837796,0.7739141484784317
Table 3,Vanilla,Vanilla,ExternalCohortAverage,External-cohort average,accuracy,0.7728004253810704,0.014500258136931,0.7269995568947183,0.8143862105636298
Table 3,Vanilla,Vanilla,ExternalCohortAverage,External-cohort average,f1,0.8012754040503569,0.0081035917463086,0.764855909214069,0.8341598821047677
Table 3,Hard Filter,Hard Filter,Test,ADReSS validation,f1,0.8917225896900212,0.0213441798300404,0.821796489159553,0.9465367327568486
Table 3,Hard Filter,Hard Filter,Lu,Lu,f1,0.8672999809512671,0.0201148192247153,0.8092298616170366,0.9186417866964912
Table 3,Hard Filter,Hard Filter,Pitt,Pitt,f1,0.7365592248968091,0.0155426044120974,0.6948230758020935,0.7753191664701006
Table 3,Hard Filter,Hard Filter,ExternalCohortAverage,External-cohort average,accuracy,0.7723242349048801,0.0159655700193834,0.7278359919650244,0.8129088089330024
Table 3,Hard Filter,Hard Filter,ExternalCohortAverage,External-cohort average,f1,0.8019296029240381,0.0108111525745875,0.7661677856340646,0.8347696727315929


